RA,Dec,PmrA,PMDEC,sigPMRA,sigPMDEC,w1mpro_pm,w1sigmpro_pm,w2mpro_pm,w2sigmpro_pm,2MASSRA,2MASSDEC,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,
6.5877203,-59.9448484,0.10116,-0.04787,0.0079,0.0071,14.303,0.014,14.139,0.013,6.586981,-59.944664,15.24,0.0473,14.515,0.0622,14.39,0.0845,
6.2110961,-61.1429326,0.1602,-0.15445,0.0101,0.0089,14.828,0.015,14.7,0.018,6.209856,-61.142254,15.736,0.0787,15.12,0.1043,14.882,0.1177,
6.2456727,1.82109,-0.07791,-0.23701,0.0267,0.025,15.89,0.026,15.492,0.043,,,,,,,,,
6.0333556,42.2408087,0.09917,-0.07897,0.0089,0.0076,14.511,0.014,14.315,0.016,6.032851,42.24102,15.538,0.0531,14.956,0.0479,14.719,0.0743,
6.4649622,-7.8050155,0.69446,-1.25736,0.0152,0.0175,14.667,0.015,14.477,0.022,,,,,,,,,
6.7215619,-9.6080622,-0.07463,-0.16063,0.0113,0.0104,14.562,0.016,14.426,0.021,6.722068,-9.607438,16.182,0.082,15.316,0.11,14.834,0.1112,
5.635584,-44.2467918,0.1184,-0.05738,0.0123,0.0116,14.987,0.017,14.848,0.024,5.635042,-44.246662,16.044,0.0778,15.399,0.0896,15.278,0.1707,
5.9080073,43.891881,0.2251,-0.30138,0.0109,0.01,14.911,0.016,14.353,0.017,5.90643,43.893127,17.284,0.217,16.324,0.1778,15.521,0.18,
6.8447201,-61.5659541,0.11901,-0.0272,0.0086,0.0074,14.379,0.014,14.287,0.015,6.843869,-61.565918,15.282,0.0501,14.769,0.0659,14.588,0.0908,
7.0103189,-21.841273,0.16968,-0.03943,0.0102,0.0094,14.468,0.015,14.259,0.019,7.009629,-21.841248,16.137,0.105,15.445,0.1311,15.312,0.1677,
8.1936692,-76.6916288,0.94254,-0.1153,0.0155,0.0125,14.893,0.019,14.683,0.019,,,,,,,,,
7.6995533,77.7090164,-0.17005,-0.0802,0.0037,0.0034,9.338,0.012,9.113,0.008,7.702805,77.709412,10.458,0.0225,9.891,0.0265,9.562,0.0209,
7.8800839,77.5365982,1.08533,-0.00344,0.0112,0.01,13.811,0.019,13.577,0.014,,,,,,,,,
6.9851788,22.3249459,0.41237,-0.19228,0.0045,0.0038,9.329,0.012,9.076,0.008,6.983026,22.325788,10.614,0.0217,9.967,0.0231,9.569,0.0171,
6.7447029,-26.1499023,0.28878,-0.02297,0.0236,0.0229,15.779,0.023,15.539,0.046,,,,,,,,,
6.9669825,-63.6221372,0.11838,-0.02598,0.0075,0.0065,14.219,0.013,14.065,0.013,6.966171,-63.622017,15.325,0.0547,14.522,0.0559,14.469,0.0745,
6.6294591,-63.835663,0.08943,0.07854,0.0105,0.0092,14.863,0.015,14.678,0.018,6.628815,-63.835888,15.841,0.068,15.259,0.1132,15.078,0.1431,
7.9491341,-64.189781,0.2223,0.29307,0.0331,0.0302,17.332,0.053,15.305,0.027,,,,,,,,,
6.1837701,-27.1371573,-0.06137,0.81208,0.0031,0.0028,8.167,0.014,7.884,0.011,6.184143,-27.140068,9.254,0.0337,8.547,0.0362,8.241,0.0302,
6.7114439,-28.7666103,0.12204,-0.03132,0.0115,0.0105,14.656,0.015,14.705,0.024,6.710951,-28.766523,15.401,0.0388,14.777,0.0553,14.727,0.0845,
8.1285706,-49.782345,-0.33999,-0.91926,0.0332,0.0324,18.07,0.109,15.049,0.025,,,,,,,,,
7.299956,30.9850567,0.14548,0.04282,0.0108,0.0098,14.664,0.017,14.457,0.019,7.299193,30.984798,16.497,0.1156,15.381,0.0944,14.891,0.0827,
6.8013236,-32.4668881,0.1108,-0.06919,0.0108,0.0101,14.61,0.016,14.439,0.02,6.800941,-32.466686,15.674,0.0586,15.007,0.0559,14.782,0.0996,
6.4589088,31.7428069,0.15685,0.03447,0.0131,0.0114,15.014,0.016,14.667,0.022,,,,,,,,,
