,upload_RA,upload_Dec,distance,ra,dec,jAperMag3,jAperMag3Err,hAperMag3,hAperMag3Err,ksAperMag3,ksAperMag3Err,RA,Dec,PmrA,PMDEC,sigPMRA,sigPMDEC,w1mpro_pm,w1sigmpro_pm,w2mpro_pm,w2sigmpro_pm
34,4.61833,-82.120418,9.001289,4.6361483,-82.1198847,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0,4.61833,-82.120418,0.0,0.0,0.2107,0.4928,18.973,,18.105,
34,4.61833,-82.120418,4.8660013,4.608630799999999,-82.1206609,11.766715,0.0007099999999999999,-999999500.0,-999999500.0,10.970260000000001,0.001188,4.61833,-82.120418,0.0,0.0,0.2107,0.4928,18.973,,18.105,
34,4.61833,-82.120418,2.4466985,4.6198121,-82.1197694,18.636501000000006,0.146224,-999999500.0,-999999500.0,-999999500.0,-999999500.0,4.61833,-82.120418,0.0,0.0,0.2107,0.4928,18.973,,18.105,
34,4.61833,-82.120418,4.9033992,4.6085543,-82.1206613,12.409458,0.000837,-999999500.0,-999999500.0,12.049149,0.00161,4.61833,-82.120418,0.0,0.0,0.2107,0.4928,18.973,,18.105,
34,4.61833,-82.120418,1.576848,4.6201153,-82.1200547,19.583443,0.209519,-999999500.0,-999999500.0,-999999500.0,-999999500.0,4.61833,-82.120418,0.0,0.0,0.2107,0.4928,18.973,,18.105,
34,4.61833,-82.120418,5.1752057,4.608214,-82.1207967,-999999500.0,-999999500.0,-999999500.0,-999999500.0,13.183948000000001,0.0034990000000000004,4.61833,-82.120418,0.0,0.0,0.2107,0.4928,18.973,,18.105,
35,3.5213432,-83.4286524,0.08674789999999999,3.5211799,-83.4286372,15.325123999999999,0.007174,-999999500.0,-999999500.0,14.4709,0.011261,3.5215699999999996,-83.4286524,0.09342,-0.01097,0.0074,0.0067,14.255999999999998,0.013000000000000001,14.071,0.013999999999999999
35,3.5213432,-83.4286524,5.135089099999999,3.5251417999999997,-83.4272939,19.554125,0.198845,-999999500.0,-999999500.0,-999999500.0,-999999500.0,3.5215699999999996,-83.4286524,0.09342,-0.01097,0.0074,0.0067,14.255999999999998,0.013000000000000001,14.071,0.013999999999999999
35,3.5213432,-83.4286524,0.06948739999999999,3.5211996,-83.42864229999998,15.337747,0.005104999999999999,-999999500.0,-999999500.0,14.464398000000001,0.009698,3.5215699999999996,-83.4286524,0.09342,-0.01097,0.0074,0.0067,14.255999999999998,0.013000000000000001,14.071,0.013999999999999999
36,356.0341543,-82.782537,2.3073212000000005,356.0392475,-82.7825007,16.001518,0.019161,-999999500.0,-999999500.0,15.737874,0.041263,356.0364412,-82.782537,1.03437,-0.10073,0.0363,0.0284,16.402,0.033,16.759,0.105
36,356.0341543,-82.782537,6.0285699,356.0359685,-82.784196,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0,356.0364412,-82.782537,1.03437,-0.10073,0.0363,0.0284,16.402,0.033,16.759,0.105
37,0.29454709999999995,-86.1304147,6.2005436,0.318169,-86.1297629,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0,0.2950335,-86.1304147,0.11817000000000001,-0.13848,0.0111,0.0103,15.011,0.016,14.917,0.021
37,0.29454709999999995,-86.1304147,0.2994475,0.29577420000000004,-86.1304069,15.919012,0.014765,-999999500.0,-999999500.0,15.253559,0.030313,0.2950335,-86.1304147,0.11817000000000001,-0.13848,0.0111,0.0103,15.011,0.016,14.917,0.021
37,0.29454709999999995,-86.1304147,6.4248335,0.3186215,-86.1296765,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0,0.2950335,-86.1304147,0.11817000000000001,-0.13848,0.0111,0.0103,15.011,0.016,14.917,0.021
37,0.29454709999999995,-86.1304147,0.28951750000000004,0.2957321,-86.13040620000002,15.928598999999998,0.010407,-999999500.0,-999999500.0,15.205817999999999,0.021844,0.2950335,-86.1304147,0.11817000000000001,-0.13848,0.0111,0.0103,15.011,0.016,14.917,0.021
37,0.29454709999999995,-86.1304147,7.5532572,0.322846,-86.131284,19.62075,0.279063,-999999500.0,-999999500.0,-999999500.0,-999999500.0,0.2950335,-86.1304147,0.11817000000000001,-0.13848,0.0111,0.0103,15.011,0.016,14.917,0.021
38,359.4947484,25.8935638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.4947403,25.8935638,-0.02638,-0.21359,0.0231,0.0211,15.722000000000001,0.022000000000000002,15.457,0.04
39,0.5472544,31.3832964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5472693000000001,31.3832964,0.04565,-0.21324,0.0094,0.0089,14.425999999999998,0.015,14.402999999999999,0.017
40,359.95964239999995,47.7619825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.960258,47.7619825,1.4896399999999999,-0.34956,0.0138,0.012,17.859,,17.607,
41,0.6243126,63.871387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6248273,63.871387,0.81594,0.09881000000000001,0.063,0.0584,18.208,0.214,15.732999999999999,0.052000000000000005
42,358.6487934,74.9426407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.6488825,74.9426407,0.08337,0.12542,0.0119,0.0105,14.899000000000001,0.079,14.652999999999999,0.066
43,1.9618846999999997,75.60786359999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9621828000000001,75.6078636,0.26671,-0.16527999999999998,0.013000000000000001,0.0103,14.982000000000001,0.016,14.761,0.02
44,1.3736078999999999,-13.542483800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3736241000000002,-13.5424838,0.05686,-0.26965,0.0151,0.0153,15.1,0.018000000000000002,15.078,0.032
45,1.0577415000000001,-17.4685211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0577463,-17.4685211,0.01652,-0.15213,0.0131,0.0133,14.939,0.018000000000000002,14.812000000000001,0.027000000000000003
46,2.207186,-17.6569328,2.5730925,2.2064373,-17.6569754,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0,2.2071465,-17.6569328,-0.13567,-0.43018999999999996,0.0333,0.0354,16.826,0.05,14.978,0.031
46,2.207186,-17.6569328,0.5442771,2.2071152,-17.6570681,16.87698,0.016853,-999999500.0,-999999500.0,17.0475,0.08603,2.2071465,-17.6569328,-0.13567,-0.43018999999999996,0.0333,0.0354,16.826,0.05,14.978,0.031
47,2.1847594,1.4574768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1847498,1.4574768,-0.03458,-0.42776000000000003,0.03,0.0312,16.707,0.043,14.831,0.027000000000000003
48,1.0584161,4.7399277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0583756000000002,4.7399277,-0.14526,-0.2927,0.0252,0.0266,16.018,0.027999999999999997,15.402999999999999,0.039
49,1.5966078000000001,18.0023762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5966641000000001,18.0023762,0.19280999999999998,-0.30709000000000003,0.0298,0.0285,15.876,0.028999999999999998,15.699000000000002,0.05
50,1.5195036,-19.0978112,0.9460738000000001,1.5197802,-19.0977842,17.237362,0.021108000000000002,-999999500.0,-999999500.0,17.128828,0.095091,1.5196155,-19.0978112,0.38069000000000003,-0.07693,0.0385,0.0394,17.081,0.06,15.107000000000001,0.036000000000000004
