upload_ID,upload_RA,upload_Dec,distance,ra,dec,jAperMag3,jAperMag3Err,hAperMag3,hAperMag3Err,ksAperMag3,ksAperMag3Err,RA,Dec,PmrA,PMDEC,sigPMRA,sigPMDEC,w1mpro_pm,w1sigmpro_pm,w2mpro_pm,w2sigmpro_pm
2875,153.371949,-72.7713651,0.3813544,153.3721426,-72.77145420000002,15.886299,0.014938,-999999500.0,-999999500.0,14.937408,0.021984,153.3712961,-72.7713651,-0.69619,0.6550699999999999,0.0183,0.0184,15.463,0.019,15.13,0.024
2876,155.65529709999996,49.2527563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.6552765,49.252756299999994,-0.04842,-0.10043,0.0076,0.0084,14.191,0.014,14.038,0.014
2877,156.4325267,-1.0899682,0.3361546,156.43257509999995,-1.0900481000000002,15.48108,0.004816,-999999500.0,-999999500.0,14.741488,0.012584,156.43251819999998,-1.0899682,-0.03067,-0.15283,0.01,0.0116,14.6,0.016,14.479,0.021
2878,156.0944589,-2.5713972000000003,3.6560041,156.09344319999997,-2.5713544,11.309109,0.000544,-999999500.0,-999999500.0,10.642028,0.0007570000000000001,156.0942452,-2.5713972000000003,-0.76848,-0.02685,0.0036,0.0039,10.595999999999998,0.011,10.282,0.002
2879,156.0917654,-2.5705428,5.4066376,156.09056619999996,-2.569637,18.589344,0.067436,-999999500.0,-999999500.0,17.133781,0.101628,156.0917654,-2.5705428,0.0,0.0,0.0236,0.0345,17.385,,16.953,
2880,156.48906530000005,3.1319802000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.4887182,3.1319802000000005,-1.24784,-0.20123,0.0194,0.0229,17.69,0.095,14.217,0.015
2881,156.4893067,3.1320139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.4888477,3.1320139,-1.6501,-0.23408,0.0508,0.0573,18.244,0.157,15.209,0.035
2882,156.746383,55.1137656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.746072,55.113765599999994,-0.64044,-0.44822,0.0065,0.0073,10.161,0.015,9.98,0.011
2883,155.69049099999995,-66.04017929999999,0.4687335999999999,155.690181,-66.0402125,11.889898,0.000681,-999999500.0,-999999500.0,11.582828,0.001302,155.69036409999995,-66.04017929999999,-0.18555,0.07712000000000001,0.0031,0.0035,8.551,0.012,8.404,0.008
2884,156.75534,-43.7942978,0.8454876,156.7556024,-43.7944366,16.76725,0.021006,-999999500.0,-999999500.0,15.501423,0.023112,156.7552645,-43.794297799999995,-0.19623,0.0441,0.0126,0.0143,15.157,0.017,15.121,0.026
